Time,Status,Message,Season,Round,Date
0 days 00:16:16.333000,1,AllClear,2018,12,2018-07-29 13:26:16.333
0 days 01:17:28.040000,2,Yellow,2018,12,2018-07-29 14:27:28.040
0 days 01:17:35.690000,6,VSCDeployed,2018,12,2018-07-29 14:27:35.690
0 days 01:18:47.016000,7,VSCEnding,2018,12,2018-07-29 14:28:47.016
0 days 01:19:01.500000,1,AllClear,2018,12,2018-07-29 14:29:01.500
0 days 00:00:00,1,AllClear,2018,13,2018-08-26 13:10:00.000
0 days 00:14:48.834000,2,Yellow,2018,13,2018-08-26 13:24:48.834
0 days 00:14:50.817000,1,AllClear,2018,13,2018-08-26 13:24:50.817
0 days 00:18:44.585000,2,Yellow,2018,13,2018-08-26 13:28:44.585
0 days 00:19:13.527000,4,SCDeployed,2018,13,2018-08-26 13:29:13.527
0 days 00:29:34.490000,1,AllClear,2018,13,2018-08-26 13:39:34.490
0 days 01:42:18.720000,2,Yellow,2018,13,2018-08-26 14:52:18.720
0 days 01:45:13.546000,1,AllClear,2018,13,2018-08-26 14:55:13.546
0 days 00:00:00,1,AllClear,2018,14,2018-09-02 13:10:00.000
0 days 00:18:55.262000,2,Yellow,2018,14,2018-09-02 13:28:55.262
0 days 00:19:37.098000,6,VSCDeployed,2018,14,2018-09-02 13:29:37.098
0 days 00:20:49.389000,7,VSCEnding,2018,14,2018-09-02 13:30:49.389
0 days 00:22:37.098000,4,SCDeployed,2018,14,2018-09-02 13:32:37.098
0 days 00:24:40.762000,1,AllClear,2018,14,2018-09-02 13:34:40.762
0 days 00:54:24.938000,2,Yellow,2018,14,2018-09-02 14:04:24.938
0 days 00:56:49.323000,1,AllClear,2018,14,2018-09-02 14:06:49.323
0 days 00:07:50.402000,1,AllClear,2018,15,2018-09-16 12:17:50.402
0 days 00:18:58.280000,2,Yellow,2018,15,2018-09-16 12:28:58.280
0 days 00:19:09.767000,4,SCDeployed,2018,15,2018-09-16 12:29:09.767
0 days 00:28:57.272000,1,AllClear,2018,15,2018-09-16 12:38:57.272
0 days 00:00:00,1,AllClear,2018,16,2018-09-30 11:10:00.000
0 days 00:19:12.622000,2,Yellow,2018,16,2018-09-30 11:29:12.622
0 days 00:19:30.434000,1,AllClear,2018,16,2018-09-30 11:29:30.434
0 days 00:19:47.345000,2,Yellow,2018,16,2018-09-30 11:29:47.345
0 days 00:20:05.237000,1,AllClear,2018,16,2018-09-30 11:30:05.237
0 days 00:24:34.322000,2,Yellow,2018,16,2018-09-30 11:34:34.322
0 days 00:24:44.044000,1,AllClear,2018,16,2018-09-30 11:34:44.044
0 days 00:24:46.876000,2,Yellow,2018,16,2018-09-30 11:34:46.876
0 days 00:24:48.184000,1,AllClear,2018,16,2018-09-30 11:34:48.184
0 days 00:07:18.242000,1,AllClear,2018,17,2018-10-07 05:17:18.242
0 days 00:23:40.758000,4,SCDeployed,2018,17,2018-10-07 05:33:40.758
