LapStartTime,Driver,LapNumber,LapTime,TyreLife,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,Position,TrackStatus
0 days 02:16:06.353000,RUS,45.0,0 days 00:01:48.988000,12.0,0 days 00:00:31.210000,0 days 00:00:42.383000,0 days 00:00:35.395000,3.0,MEDIUM,5.0,
0 days 02:16:07.491000,HUL,44.0,0 days 00:01:53.374000,7.0,0 days 00:00:31.459000,0 days 00:00:43.852000,0 days 00:00:38.063000,3.0,MEDIUM,20.0,
0 days 02:16:22.412000,MAG,45.0,0 days 00:02:03.463000,11.0,0 days 00:00:31.352000,0 days 00:00:56.848000,0 days 00:00:35.263000,3.0,MEDIUM,7.0,
0 days 02:16:29.469000,GAS,45.0,,13.0,,,,3.0,HARD,,
0 days 02:16:40.531000,BOT,45.0,0 days 00:02:01.176000,9.0,0 days 00:00:31.276000,0 days 00:00:54.533000,0 days 00:00:35.367000,3.0,MEDIUM,8.0,
0 days 02:16:41.737000,TSU,45.0,0 days 00:02:27.999000,4.0,0 days 00:00:59.221000,0 days 00:00:54.942000,0 days 00:00:33.836000,4.0,SOFT,12.0,
0 days 02:16:45.644000,ZHO,45.0,0 days 00:02:01.756000,8.0,0 days 00:00:31.158000,0 days 00:00:55.353000,0 days 00:00:35.245000,3.0,MEDIUM,9.0,
0 days 02:16:50.051000,LEC,46.0,0 days 00:02:05.151000,15.0,0 days 00:00:31.406000,0 days 00:00:58.116000,0 days 00:00:35.629000,3.0,MEDIUM,1.0,
0 days 02:16:57.452000,OCO,45.0,0 days 00:02:04.785000,5.0,0 days 00:00:37.722000,0 days 00:00:54.374000,0 days 00:00:32.689000,4.0,SOFT,10.0,
0 days 02:17:01.353000,MSC,45.0,0 days 00:02:07.252000,12.0,0 days 00:00:37.539000,0 days 00:00:55.902000,0 days 00:00:33.811000,3.0,SOFT,11.0,
0 days 02:17:02.679000,ALO,45.0,0 days 00:02:07.867000,3.0,0 days 00:00:39.722000,0 days 00:00:54.815000,0 days 00:00:33.330000,4.0,SOFT,13.0,
0 days 02:17:15.508000,VER,46.0,0 days 00:02:09.941000,6.0,0 days 00:00:42.102000,0 days 00:00:55.284000,0 days 00:00:32.555000,4.0,SOFT,2.0,
